Title,Actor,Written by,Directed by,Produced by,Budget,Story by,summary
Rustom (film),Akshay Kumar,Vipul K Rawal,Tinu Suresh Desai,Aruna BhatiaNittin KeniAkash ChawlaVirender AroraIshwar KapoorShital BhatiaDeepanshu MishraPrerna AroraArjun N. Kapoor,â‚¹50.28Â crores[1],,"The Bollywood movie ""Rustom"" was released on August 12, 2016. The film features Akshay Kumar as the lead actor and has an ensemble cast including Ileana D'Cruz, Esha Gupta, Arjan Bajwa, Pavan Malhotra, Kumud Mishra, Usha Nadkarni, among others. Jeet Gannguli, Arko, Raghav Sachar, and Ankit Tiwari composed the movie's music, while Surinder Sodhi created the background score. Santosh Thundiyil was in charge of cinematography, and Shree Narayan Singh edited the film. The production company and distribution were handled by Panorama Studios and Zee Studios International, respectively. The estimated budget for the movie was ?50.28 crore, and it grossed an estimated ?218.12 crore at the box office."
Dishoom,Akshay Kumar,Story and Screenplay:Rohit DhawanTushar HiranandaniDialogues:Hussain Dalal,Rohit Dhawan,Sajid Nadiadwala,â‚¹55 crore[2],,"""Dishoom"" is a Bollywood action comedy film directed by Rohit Dhawan and produced by Sajid Nadiadwala. The movie stars John Abraham, Varun Dhawan, Jacqueline Fernandez, Akshaye Khanna, Saqib Saleem, and others. The story follows two officers, Kabir ""K"" Shergill (John Abraham) and Junaid ""J"" Ansari (Varun Dhawan), who are on a mission to capture a notorious criminal, Wagah (Akshaye Khanna). Along the way, they encounter various characters, including a pickpocket (Jacqueline Fernandez), a bookie (Rashmi Nigam), and a weapons trader (Mir Sarwar). The movie is set in Abu Dhabi and features a blend of action, comedy, and romance.

The film was released on July 29, 2016, and had a budget of ?55 crore (approximately $8 million USD). It performed well at the box office, grossing an estimated ?119.58 crore (approximately $17 million USD)."
Housefull 3,Akshay Kumar,Sajid-Farhad (dialogue),Sajid-Farhad,Sajid Nadiadwala,,K. SubashJitendra Parmar,"""Housefull 3"" is a Bollywood movie released in 2016, starring Akshay Kumar, Abhishek Bachchan, Riteish Deshmukh, and other notable actors. The movie was directed by Sajid-Farhad and written by the same duo along with Rajan Agarwal and K. SubashJitendra Parmar. The story is credited to four people - Sajid-Farhad, Jitendra Parmar, Rajan Agarwal, and K. Subash. The movie features a talented cast, including Akshay Kumar as Sanket ""Sandy"" Sehgal/""Sundy Indian"", Abhishek Bachchan as Bhaskar ""Bunty"" Mittal, Riteish Deshmukh as Tukaram ""Teddy"" Chaugule, Jacqueline Fernandez as Ganga Patel / Ganga Nagre (Gracy), Lisa Haydon as Jamuna Patel / Jamuna Nagre (Jenny), Nargis Fakhri as Saraswati Patel / Saraswati Nagre (Sarah), Jackie Shroff as Urja Nagre, Chunkey Pandey as Aakhri Pasta, Boman Irani as Batook Patel, Samir Kochhar as Rishi Patel, Nikitin Dheer as Rohan Patel, Aarav Chowdhary as Rajeev Patel, and Mareeha Safdar as Shirley. The movie's music is composed by Sohail Sen, Mika Singh, Shaari-Toshi, Tanishk Bagchi, Millind Gaba, and Julius Packiam, while the cinematography is handled by Vikas Sivaraman. The movie was released on June 3, 2016, and ran for 134 minutes, with a budget of unknown amount and box office collection of ?195 crore."
Airlift (film),Akshay Kumar,"Raja Krishna Menon
Suresh Nair
Rahul Nangia
Ritesh Shah",Raja Krishna Menon,"Nikkhil Advani
Monisha Adwani
Aruna Bhatia
Bhushan Kumar
Gaurav Nanda
Krishan Kumar
Vikram Malhotra",â‚¹62 Crores[2],,"The film ""Airlift"" is directed by Raja Krishna Menon and produced by Nikkhil Advani, Monisha Adwani, Aruna Bhatia, Bhushan Kumar, Gaurav Nanda, and Krishan Kumar. It features Akshay Kumar and Nimrat Kaur in the lead roles. The film is about India-Kuwait relations, India-Iraq relations, Iraq-Kuwait relations, and the theme of takeoff. The movie was released on January 21, 2016, in Dubai and January 22, 2016, in India. It has a running time of 125 minutes and was made on a budget of ?62 Crores. The film's box office collection was ?221.67 Crores."
Toilet: Ek Prem Katha,Akshay Kumar,Siddharth Singh,Shree Narayan Singh,Viacom18  Motion PicturesAruna BhatiaShital BhatiaPrerna AroraArjun N. KapoorNeeraj Pandey,â‚¹75 crore[2],,"Hello there! As ML Guru, I'd be happy to help you summarize the data provided about the Bollywood movie ""Toilet: Ek Prem Katha"". Here is a brief summary of the key points:

Title: Toilet: Ek Prem Katha
Actor: Akshay Kumar
Cast: Features Akshay Kumar and Bhumi Pednekar
Production: The movie was produced by Viacom18 Motion Pictures, Aruna Bhatia, Shital Bhatia, Prerna Arora, Arjun N. Kapoor, Neeraj Pandey
Director: Directed by Shree Narayan Singh
Written by: Screenplay by Siddharth Singh, Story by nan
Music: Composed by Vickey Prasad, Manas-Shikhar, Sachet–Parampara
Cinematography: Anshuman Mahaley
Edited by: Edited by Shree Narayan Singh
Production company: Distributed by Viacom 18 Motion Pictures (India), Reliance Entertainment through 20th Century Studios and Paramount Pictures (Overseas)
Release date: Released on August 11, 2017 (India)
Running time: Duration of the movie is approximately 155 minutes
Country: The movie is an Indian production
Language: The movie is in Hindi
Budget: The estimated budget for the movie was ?75 crore
Box office: The movie reportedly grossed ?310 crore at the box office."
Pad Man (film),Akshay Kumar,R. BalkiSwanand Kirkire,R. Balki,Twinkle Khanna Prerna Arora,,,"The movie Pad Man is a Bollywood film directed by R. Balki and produced by Twinkle Khanna Prerna Arora. It stars Akshay Kumar, Radhika Apte, Sonam Kapoor, and others. The movie is based on the life of Arunachalam Muruganantham, an entrepreneur who invented a low-cost sanitary napkins making machine. The film follows the story of Lakshmikant Chauhan (played by Akshay Kumar), who is inspired by Muruganantham's work and sets out to revolutionize the way women in his village obtain sanitary napkins.

The movie was released on February 9, 2018, and has a runtime of 140 minutes. It was distributed by Sony Pictures Releasing and has a budget that is not specified. The film performed well at the box office, grossing ?207.73 crore (approximately $29 million)."
Gold (2018 film),Akshay Kumar,Screenplay:Reema KagtiDialogues:Rajesh Devraj,Reema Kagti,Ritesh SidhwaniFarhan Akhtar,â‚¹61 crore,Reema KagtiRajesh Devraj,"The movie features Akshay Kumar as the lead actor and is directed by Reema Kagti. The screenplay, dialogues, and story are credited to Reema Kagti and Rajesh Devraj respectively. The film is produced by Ritesh Sidhwani and Farhan Akhtar, starring a talented cast including Mouni Roy, Kunal Kapoor, Amit Sadh, Vineet K. Singh, Sunny Kaushal, and Nikita Dutta.

The music of the film is composed by Sachin–Jigar, with additional songs by Tanishk Bagchi and Arko Pravo Mukherjee. The cinematography is handled by Álvaro Gutiérrez, while Anand Subaya is credited as the editor. The movie is distributed by AA Films and was released in India on August 15, 2018. The film has a running time of 151 minutes and is shot in Hindi language.

According to the box office data, ""Gold"" collected approximately ?158 crore worldwide, which is a significant amount for a Bollywood film. Overall, the data provides a comprehensive overview of the movie's production, cast, crew, and box office performance, giving us an idea of its scale and impact in the Indian cinema industry."
2.0 (film),Akshay Kumar,S. ShankarB. JeyamohanMadhan Karky,S. Shankar,Subaskaran Allirajah,est. â‚¹400â€“600 crore[a],,"""2.0"" is a 2018 Indian science fiction film directed by S. Shankar and starring Rajinikanth and Akshay Kumar. The movie follows the story of a robot boxer who becomes self-aware and seeks revenge against its creators. The film was produced by Subaskaran Allirajah and features music by A. R. Rahman, cinematography by Nirav Shah, and editing by Anthony. Distributed by Lyca Productions, Dharma Productions, and NVR Cinema LLPAA Films, ""2.0"" was released on November 29, 2018 and runs for 147 minutes. The film is an Indian Tamil language production with an estimated budget of ?400-600 crore and a box office collection of est. ?699.89 crore."
Simmba,Akshay Kumar,Screenplay:Yunus SajawalSajid SamjiDialogues:Farhad Samji,Rohit Shetty,"Hiroo Yash Johar
Rohit Shetty
Apoorva Mehta
Karan Johar",â‚¹80 crore[3],Vakkantham Vamsi,"Simmba is a Bollywood movie released in 2018, starring Ranveer Singh, Sonu Sood, and Sara Ali Khan. The film was directed by Rohit Shetty and written by Yunus Sajawal and Farhad Samji. The production company was Hiroo Yash Johar, Rohit Shetty, Apoorva Mehta, and Karan Johar. The music was composed by Tanishk Bagchi, Lijo George - DJ Chetas, and S. Thaman, with Amar Mohile and S. Thaman as the score composers. The cinematography was done by Jomon T. John, and the editing was done by Bunty Nagi. The movie had a budget of ?80 crore and collected an estimated ?400.19 crore at the box office."
Kesari (2019 film),Akshay Kumar,Anurag SinghGirish Kohli,Anurag Singh,Karan JoharHiroo Yash JoharApoorva MehtaAruna BhatiaSunir Khetarpal,,,"Kesari is a 2019 Indian Hindi-language historical period action drama film directed by Anurag Singh and starring Akshay Kumar and Parineeti Chopra in lead roles. The movie was produced by Karan Johar, Hiroo Yash Johar, Apoorva Mehta, Aruna Bhatia, and Sunir Khetarpal under their banner Dharma Productions. The screenplay was written by Anurag Singh and Girish Kohli, while the story was credited to nan. The movie features an ensemble cast, including Tanishk Bagchi, Arko Pravo Mukherjee, Chirantan Bhatt, Jasbir Jassi, and Jasleen Royal in the music department. Cinematography was handled by Anshul Chobey, while editing was done by Manish More. Distributed by Zee Studios, Kesari was released on March 21, 2019, and ran for 150 minutes. The movie had a budget of nan and collected ?207.09 crore at the box office."
Blank (2019 film),Akshay Kumar,Screenplay:Pranav AdarshBehzad KhambataDialogues:Radhika AnandPranav AdarshBehzad Khambata,Behzad Khambata,Shrikant BhasiNishant Pitti& PicturesTony D'SouzaVishal Rana,,Pranav AdarshBehzad Khambata,"""Blank"" is a 2019 Indian Hindi-language action thriller film directed by Behzad Khambata and written by Pranav Adarsh, Behzad Khambata, Radhika Anand, and Raghav Sachar. The film stars Sunny Deol, Karan Kapadia, Karanvir Sharma, Ishita Dutta, Jameel Khan, Boloram Das, Shaji Choudhary, and Akshay Kumar in a special appearance in the song ""Ali Ali"". The story follows SS Dewan (played by Sunny Deol), an Anti-Terrorism Squad officer, as he tries to stop a terrorist attack. The film was released on May 3, 2019 and ran for 107 minutes. Although the budget and box office figures are not available, it is reported that the movie made approximately ?5.15 crore at the Indian box office."
Mission Mangal,Akshay Kumar,R. BalkiJagan ShaktiNidhi Singh DharmaSaketh Kondiparthi,Jagan Shakti,Cape of Good FilmsHope ProductionsFox Star StudiosAruna BhatiaAnil Naidu,â‚¹70 crore[3],Jagan Shakti,"The movie ""Mission Mangal"" is a 2019 Indian Hindi-language space drama film directed by Jagan Shakti and written by R. Balki, Jagan Shakti, Nidhi Singh Dharma, Saketh Kondiparthi. The movie stars Akshay Kumar, Vidya Balan, Sonakshi Sinha, Taapsee Pannu, Nithya Menen, Kirti Kulhari, and Sharman Joshi. The music is composed by Amit Trivedi, with score and songs by him as well. The cinematography is handled by Ravi Varman, and the editing is done by Chandan Arora. The movie was produced by Cape of Good Films, Hope Productions, Fox Star Studios, Aruna Bhatia, and Anil Naidu, with a budget of ?70 crore and distributed by Fox Star Studios. The movie was released on August 15, 2019, running for 127 minutes and grossing ?290 crore at the box office."
Housefull 4,Akshay Kumar,Farhad Samji (Dialogues),Farhad Samji,Sajid Nadiadwala,â‚¹75 crore[2],Sara BodinarSajid Nadiadwala," Housefull 4 is a Bollywood movie released in 2019, directed by Farhad Samji and produced by Sajid Nadiadwala. The movie stars Akshay Kumar, Riteish Deshmukh, Bobby Deol, Kriti Sanon, Pooja Hegde, Kriti Kharbanda, and others.

The story follows the concept of reincarnation, where the characters are connected through various past lives. The movie revolves around the journey of self-discovery and love as the characters try to unravel their mysterious connections.

The cast includes:

* Akshay Kumar as Rajkumar Bala Dev Singh, Harsh ""Harry"" Sinha, and Bobby Deol as Mahabali Dharamputra Deo Singh.
* Riteish Deshmukh as Bangdu Pratap Singh a.k.a. Bangdu Maharaj.
* Kriti Sanon as Rajkumari Madhu, Pooja Hegde as Rajkumari Maala, and Kriti Kharbanda as Rajkumari Meena.
* Bobby Deol as Gangster Michael D'Costa/Michael Bhai, Suryabhan's reincarnation.
* Sharad Kelkar as Raja Surya's reincarnation, Maharaja Suryadev ""Surya"" Singh Rana.
* Chunky Pandey as Pehla Pasta, Aakhri Pasta's reincarnation.
* Ranjeet Bedi as Maharaja Suryadev ""Surya"" Singh Rana.
* Johnny Lever as Winston Churchgate, Hotel Manager of Sitamgarh and reincarnated Giggly (Dual role).
* Jamie Lever as Giggly: Madhu, Mala, and Meena's maid.
* Nawazuddin Siddiqui as Dharmesh Ramsey a.k.a. Ramsey Baba (special appearance), a tantrik.
* Manoj Pahwa as Viraj Sehni a.k.a. Big Bhai, Ganglead of Michael Bhai (special appearance).
* Parikshit Sahni as Maharaja Parikshitap Dev Singh (special appearance).
* Archana Puran Singh as Varsha P. Sinha (photo only), Mother of Harry, Max and Roy.
* Shakti Kapoor as Prabhakar Badrinath Sinha (photo only), Father of Harry, Max and Roy.

The movie was released on October 25, 2019, in India and has a running time of 145 minutes. It was produced with a budget of ?75 crore and grossed est. ?280.27 crore at the box office."
Good Newwz,Akshay Kumar,Screenplay:Jyoti KapoorDialogues:Jyoti KapoorRishabh SharmaRaj Mehta,Raj Mehta,"Hiroo Yash Johar
Aruna Bhatia
Karan Johar
Apoorva Mehta
Shashank Khaitan",â‚¹70 crore[1],Jyoti Kapoor,"y of Varun Batra (Akshay Kumar), a fertility specialist who is struggling to conceive with his wife Deepti ""Deepu"" Batra (Kareena Kapoor Khan). The couple decides to seek help from an IVF center, where they encounter various obstacles and challenges. Along the way, they meet a cast of characters, including Honey Batra (Diljit Dosanjh), Monika ""Moni"" Batra (Kiara Advani), Dr. Sandhya Joshi (Tisca Chopra), Dr. Anand Joshi (Adil Hussain), and Advocate Richa Ahuja (Anjana Sukhani).

The film is directed by Raj Mehta and written by Jyoti Kapoor, Rishabh Sharma, and Raj Mehta. The screenplay is by Jyoti Kapoor, Rishabh Sharma, and Raj Mehta, while the story is by Jyoti Kapoor. The movie is produced by Hiroo Yash Johar, Aruna Bhatia, Karan Johar, Apoorva Mehta, and Shashank Khaitan. The soundtrack is composed by John Stewart Eduri, and the cinematography is by Vishnu Rao. The film runs for 132 minutes and has a budget of ?70 crore. It was distributed by Zee Studios and released on December 27, 2019. The movie grossed ?318.57 crore at the box office."
Laxmii,Akshay Kumar,,Raghava Lawrence,,,Raghava Lawrence,"The movie ""Laxmii"" stars Akshay Kumar and Kiara Advani, and was directed by Raghava Lawrence. The screenplay was written by Raghava Lawrence, Farhad Samji, Sparsh Khetarpal, and Tasha Bhambra, with a story by Raghava Lawrence. The music was composed by Amar Mohile, with songs by Tanishk Bagchi, Shashi-DJ Khushi, and Ullamanati. The cinematography was handled by Vetri Palanisamy and Kush Chhabria, while the editing was done by Rajesh G. Pandey. The movie was produced by an unknown production company and distributed by Disney+ Hotstar. It was released on November 9, 2020, running for 141 minutes and being in Hindi language. Unfortunately, there is no information available on the budget or box office performance of the movie."
Bell Bottom (2021 film),Akshay Kumar,Aseem ArroraParveez Shaikh,Ranjit M. Tewari,Vashu BhagnaniJackky BhagnaniDeepshikha DeshmukhMonisha AdvaniMadhu BhojwaniNikkhil Advani,â‚¹150 crore [3],,"""Bell Bottom"" is a 2021 Hindi-language film directed by Ranjit M. Tewari and produced by Vashu Bhagnani, Jackky Bhagnani, Deepshikha Deshmukh, Monisha Advani, Madhu Bhojwani, Nikkhil Advani. The movie stars Akshay Kumar, Vaani Kapoor, and Lara Dutta in lead roles. The film features a 123-minute runtime and was released on August 19, 2021, in India. The budget for the film is estimated to be ?150 crore, and its box office collection is estimated to be around ?50.58 crore."
Sooryavanshi,Akshay Kumar,,Rohit Shetty,Hiroo Yash JoharAruna BhatiaKaran JoharApoorva MehtaRohit Shetty,â‚¹160 crore[3],Rohit Shetty,"The movie ""Sooryavanshi"" features Akshay Kumar in the lead role and was directed by Rohit Shetty. The production company and distribution are unspecified, but the movie was released on November 5, 2021, in India. It has a running time of 145 minutes and is in Hindi language. The estimated budget for the movie is ?160 crore, and its box office collection is estimated to be around ?294.91 crore."
Atrangi Re,Akshay Kumar,Himanshu Sharma,Aanand L. Rai,Aanand L. RaiHimanshu SharmaBhushan KumarKrishan Kumar,,,"""Atrangi Re"" is a Hindi movie released on December 24, 2021, starring Dhanush, Sara Ali Khan, and Akshay Kumar. The film is directed by Aanand L. Rai and written by Himanshu Sharma, with music composed by A. R. Rahman. The movie follows the story of a man who kidnaps a woman from Tamil Nadu and takes her to Kerala, where they fall in love. The production company is led by Aanand L. Rai and Himanshu Sharma, while Bhushan Kumar and Krishan Kumar are also involved in the project. The movie has a running time of 137 minutes and was distributed by Disney+ Hotstar. No budget or box office figures are available for the movie."
Bachchhan Paandey,Akshay Kumar,Sajid NadiadwalaFarhad SamjiTushar HiranandaniSparsh KhetarpalTasha BhambraZeishan Quadri,Farhad Samji,Sajid Nadiadwala,est. â‚¹180 crore[5],,"he information:

Title: Bachchhan Paandey
Actor: Akshay Kumar
Cast: Listed on IMDb and Bollywood Hungama
Production: None mentioned
Directed by: Farhad Samji
Written by: Sajid Nadiadwala, Farhad Samji, Tushar Hiranandani, Sparsh Khetarpal, Tasha Bhambra, Zeishan Quadri
Screenplay by: None mentioned
Story by: None mentioned
Produced by: Sajid Nadiadwala
Starring: Akshay Kumar, Kriti Sanon, Jacqueline Fernandez, Arshad Warsi
Music by: Amaal Mallik, B Praak, Vikram Montrose, Jaani, Roy
Cinematography: Gavemic U. Ary
Edited by: Charu Shree Roy
Production company: None mentioned
Distributed by: AA Films
Release date: March 18, 2022 (2022-03-18)
Running time: 146 minutes
Country: India
Language: Hindi
Budget: Estimated ?180 crore
Box office: ?73.17 crore"
Samrat Prithviraj,Akshay Kumar,Chandraprakash Dwivedi,Chandraprakash Dwivedi,Aditya Chopra,â‚¹150âˆ’300 crore[a],," Hello! As an AI, I'm happy to help you with any questions related to machine learning, deep learning, or generative AI. However, the text you provided does not contain any information related to these topics, so I can't summarize it for you. The text appears to be a movie listing with details such as the title, cast, production company, release date, and budget. Is there anything else I can help you with?"
Raksha Bandhan (film),Akshay Kumar,Himanshu SharmaKanika Dhillon,Aanand L. Rai,Alka HiranandaniAanand L. RaiHimanshu Sharma,â‚¹70 crore[2],,"Raksha Bandhan is a Hindi film directed by Aanand L. Rai and written by Himanshu Sharma and Kanika Dhillon. The movie stars Akshay Kumar, Bhumi Pednekar, Sadia Khateeb, Sahejmeen Kaur, Smrithi Srikanth, Deepika Khanna, and others. The film follows the story of a man named Lala Kedarnath Agarwal (played by Akshay Kumar) who is on a mission to find his sister's match for his brother-in-law. The movie features music composed by Ishaan Chhabra and songs by Himesh Reshammiya. The cinematography is handled by K. U. Mohanan, and the film was edited by Hemal Kothari. Raksha Bandhan was produced by Alka Hiranandani, Aanand L. Rai, and Himanshu Sharma, and distributed by Zee Studios. The movie was released on August 11, 2022, in India and has a running time of 108 minutes. According to the box office data, the film's estimated budget was ?70 crore, and it grossed an estimated ?61.61 crore at the Indian box office."
Cuttputlli,Akshay Kumar,Aseem Arora,Ranjit M. Tewari,Vashu BhagnaniJackky BhagnaniDeepshikha Deshmukh,â‚¹135 crore[1],Ram Kumar,"The movie ""Cuttputlli"" is an Indian Hindi-language thriller film directed by Ranjit M. Tewari and written by Aseem Arora. The movie stars Akshay Kumar, Rakul Preet Singh, Sargun Mehta, and others. The production company for the film is nan, and it was distributed by Disney+ Hotstar. The movie was released on September 2nd, 2022, and has a running time of 134 minutes. The budget for the movie was approximately ?135 crore, but the box office figures are not available."
Ram Setu (film),Akshay Kumar,Story & Screenplay:  Abhishek Sharma  Dialogues: Abhishek Sharma Chandraprakash Dwivedi,Abhishek Sharma,Aruna BhatiaVikram MalhotraSubaskaran[1]Mahaveer Jain[1]Aashish Singh[1],â‚¹150 crore[3],,"The Bollywood film Ram Setu stars Akshay Kumar and features a 2023 storyline based on the Indian epic Ramayana. The movie revolves around coral reefs in India and the Sethusamudram Shipping Canal Project. The film is directed by Abhishek Sharma, with a screenplay and dialogues written by him along with Chandraprakash Dwivedi. Produced by Aruna Bhatia, Vikram Malhotra, Subaskaran, Mahaveer Jain, and Aashish Singh, the movie features a Hindi soundtrack composed by Daniel B. George, Ajay-Atul, Vikram Montrose, Ved Sharma, and Dr Zeus. The cinematography is by Aseem Mishra, edited by Rameshwar S. Bhagat, and distributed by Zee Studios. Released on October 25th, 2022, the film ran for 143 minutes and has an estimated budget of ?150 crore, with a box office collection of est. ?92.94 crore."
An Action Hero,Akshay Kumar,Neeraj Yadav,Anirudh Iyer,Bhushan KumarKrishan KumarAanand L. Rai,,Anirudh Iyer,"An Action Hero is a Bollywood movie featuring Akshay Kumar as the lead actor. The cast includes Ayushmann Khurrana, Jaideep Ahlawat, Jitender Hooda, Neeraj Madhav, Harsh Chhaya, and others. The production team consists of well-known industry professionals such as Bhushan Kumar, Krishan Kumar, Aanand L. Rai, Anirudh Iyer, Neeraj Yadav, and more.

The movie features music by prominent composers Tanishk Bagchi, Biddu, Parag Chhabra, Amar Jalal, and others. The cinematography is handled by Kaushal Shah, while editing is done by Ninad Khanolkar. The production company is not specified in the given data.

The movie was released on December 2, 2022, in India, running for 130 minutes. Unfortunately, there are no details about the budget or box office performance. I hope this summary helps you understand the information provided!"
Selfiee,Akshay Kumar,Rishabh Sharma,Raj Mehta,Hiroo Yash JoharAruna BhatiaSupriya MenonKaran JoharPrithviraj SukumaranApoorva MehtaListin Stephen,est. â‚¹100 crore [2],Sachy,"Selfiee is a Hindi language film directed by Raj Mehta and written by Rishabh Sharma. The movie stars Akshay Kumar, Emraan Hashmi, Diana Penty, Nushrratt Bharuccha, and others. The story follows Superstar Vijay Kumar (Akshay Kumar) who becomes the subject of an RTO inspector's investigation after he takes a selfie with his driving license. The cast also includes several special appearances by actors such as Jacqueline Fernandez, Mrunal Thakur, and Yo Yo Honey Singh.

The movie was produced by a team of producers including Hiroo Yash Johar, Aruna Bhatia, Supriya Menon, Karan Johar, Prithviraj Sukumaran, Apoorva Mehta, Listin Stephen, and others. The music for the film was composed by several artists including Anu Malik, Tanishk Bagchi, Yo Yo Honey Singh, The PropheC, Jo George-DJ Chetas, Vikram Montrose, Aditya Yadav, and Tarun.

The cinematography for the film was handled by Rajeev Ravi, while the editing was done by Ritesh Soni. The production company behind the film is Star Studios. The movie was released on February 24th, 2023 and runs for approximately 148 minutes. It is an Indian film shot in Hindi language. The estimated budget for the movie is around ?100 crore, and the box office collection is estimated to be around ?23.63 crore."
OMG 2,Akshay Kumar,Amit Rai,Amit Rai,Aruna BhatiaVipul D. ShahRajesh BahlAshwin VardeAkshay Kumar,est. â‚¹60 crore[2][3],,"The movie ""OMG 2"" features Akshay Kumar in the lead role and has Amit Rai as its director. The production company is nan, and the film was produced by Aruna Bhatia, Vipul D. Shah, Rajesh Bahl, Ashwin Varde, and Akshay Kumar himself. The movie features Pankaj Tripathi alongside Akshay Kumar, with Vikram Montrose, Hansraj Raghuwanshi, Djstrings, Pranaay, Kashh, and Sandesh Shandilya composing the music. Amalendu Chaudhary handled the cinematography, while Suvir Nath edited the film. The movie was distributed by Viacom18 Studios and released on August 11, 2023, running for 155 minutes. It is an Indian Hindi-language movie with an estimated budget of ?60 crore and a box office collection of ?221.08 crore."
